EDUC,EXPE,EDSUP,MUJER,SALARIO
10,42,0,0,9.493328
12,35,0,1,9.465624
10,15,0,1,6.48319
15,9,1,1,15.91191
6,41,0,0,22.69333
17,6,1,0,15.7853
6,40,0,0,9.052242
14,7,0,0,9.012357
10,30,0,0,14.3546
15,14,1,1,12.22676
10,6,0,1,6.644532
15,14,1,0,21.07281
14,25,0,0,87.49776
12,22,0,1,8.856444
12,11,0,1,6.246552
15,14,1,1,10.67592
12,34,0,0,11.44908
6,35,0,1,10.01441
17,13,1,1,19.45753
10,24,0,0,13.25882
12,23,0,0,9.276264
17,5,1,0,10.6523
10,21,0,0,9.16044
6,31,0,0,9.623086
15,19,1,1,9.854483
12,31,0,0,22.88914
10,31,0,0,13.31511
17,3,1,1,4.246552
10,39,0,0,6.107529
12,38,0,1,7.238736
6,29,0,0,14.80086
6,17,0,1,6.125805
14,14,0,1,17.26333
6,22,0,0,10.2431
15,23,1,0,16.69741
12,24,0,0,11.49425
17,12,1,1,27.18833
17,17,1,0,19.86168
10,36,0,0,17.08519
18,44,1,0,25.72904
6,49,0,1,8.252137
14,9,0,0,6.698231
17,13,1,1,13.56184
17,28,1,0,31.69166
17,14,1,0,13.65564
10,10,0,0,7.001238
12,15,0,1,6.238489
14,32,0,0,13.00328
15,10,1,1,9.606667
10,7,0,0,13.63961
17,9,1,0,10.82454
14,11,0,0,10.38811
12,23,0,1,11.37248
17,38,1,0,67.12701
15,27,1,0,12.37782
14,44,0,0,14.09119
10,46,0,0,23.76704
17,15,1,0,34.1542
12,27,0,0,16.41994
6,49,0,0,9.633533
17,12,1,1,28.58488
10,20,0,0,12.20471
17,30,1,0,28.32586
17,21,1,0,22.46385
12,12,0,0,11.40736
15,11,1,1,5.585441
12,19,0,1,6.795473
6,19,0,1,8.674081
10,28,0,0,10.7942
14,24,0,0,12.04575
6,49,0,1,6.768161
17,5,1,1,7.229472
17,-1,1,0,6.280805
6,33,0,1,6.309425
15,31,1,1,14.38615
12,14,0,0,17.18132
10,35,0,0,9.081886
15,33,1,1,20.87291
0,41,0,0,58.13779
15,19,1,0,6.743295
10,12,0,0,6.594943
14,10,0,0,10.5325
14,18,0,0,6.704943
17,4,1,0,15.26132
10,8,0,1,6.683289
10,34,0,1,6.524904
10,22,0,0,7.448046
15,12,1,1,12.97207
